id,title,problem,user,value,pain,speed,distribution,leverage,fun,status,notes
P001,One-command release checker,Publishing breaks because checks are manual,Maintainer,Prevents broken releases,5,4,3,5,3,next,Run tests + pack + changelog lint in one command
P002,Skill name validator,Invalid skill names break compatibility,Plugin maintainer,Catches issues before release,4,5,4,4,3,next,Scan SKILL.md and enforce naming rules
P003,PR body autofill helper,PR descriptions are inconsistent,Solo maintainer,Saves review and merge time,3,4,4,4,3,idea,CLI helper that composes summary and validation list
P004,Issue to branch bootstrap,Context switching wastes setup time,Solo builder,Starts work faster,3,4,3,4,4,idea,Create branch, todo file, and checklist from issue number
P005,Weekly changelog draft bot,Changelog writing is repetitive,Open source maintainer,Faster releases,4,3,3,4,2,idea,Collect merged PR titles into draft section
P006,Skill docs quality scorer,Skill docs vary in quality,Plugin maintainer,Improves consistency,4,3,2,4,4,idea,Score description clarity and broken links
P007,Repo quality snapshot,Hard to know current quality state,Solo maintainer,Clear quality baseline,4,3,3,5,3,idea,One report for tests, lint, branch protection, releases
P008,Prompt template test harness,Prompt regressions are hard to catch,Prompt author,Reliability,4,2,2,5,4,idea,Golden-file style tests for prompts
P009,Release notes generator,Release notes are manual and slow,Maintainer,Save 30-60 min per release,3,4,3,3,3,idea,Use git log and grouped commit categories
P010,Local command palette,Too many commands to remember,Power user,Speed and ease of use,3,3,2,3,5,idea,Simple TUI that lists runnable repo tasks
P011,Open issue triage script,Issue backlog gets stale quickly,Maintainer,Better prioritization,4,4,3,3,2,idea,Tag stale, duplicate, and high-signal issues
P012,Template pack starter,New repos start from scratch,Solo builder,Faster project startup,5,3,4,5,4,idea,Scaffold with CI, docs, branch protection checklist
